,name,artist,album,release,genre,flac,likes
89,광장동에서,창모 (CHANGMO),광장동에서,2020.11.13,랩/힙합,Flac 16bit,"21,377"
90,그때 그 아인,김필,이태원 클라쓰 OST Part.6,2020.02.15,"발라드, 국내드라마",Flac 16/24bit,"100,432"
91,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2019.03.31,발라드,Flac 16bit,"177,771"
92,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,2020.03.20,"발라드, 국내드라마",Flac 16/24bit,"105,964"
93,첫 줄,신용재 (2F),Dear,2020.07.01,발라드,Flac 16/24bit,"34,532"
94,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2019.12.23,댄스,Flac 16bit,"206,568"
95,Into the I-LAND,아이유,I-LAND Part.1 Signal Song,2020.06.19,댄스,Flac 16bit,"109,299"
96,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019.03.29,POP,Flac 16bit,"240,182"
97,니 이름 불렀나 봐,V.O.S,니 이름 불렀나 봐,2020.11.08,발라드,Flac 16/24bit,"9,571"
98,Painkiller,Ruel,Painkiller,2019.05.01,POP,Flac 16bit,"114,108"
99,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다,2018.09.19,발라드,Flac 16bit,"162,747"
